移除指标,原权重,Spearman相关系数,Kendall相关系数
年化利润,0.11999999999999997,0.9149694960725389,0.8635212581634011
年化销项净额,0.09999999999999998,0.9643755401065381,0.8523257363721177
年化客户数,0.06999999999999999,0.9780023474481175,0.8824470211915232
收入趋势率,0.07999999999999999,0.9824908746178947,0.8973743835799013
年化供应商数,0.06999999999999999,0.9850059976009596,0.907770225243236
收入波动率,0.07999999999999999,0.9891462769730818,0.9229641476742636
利润率,0.09999999999999998,0.9926803472159526,0.9328268692522991
活跃月份比例,0.07999999999999999,0.9966078084895076,0.9621484739437557
成本波动率,0.059999999999999984,0.9968593207878141,0.9621484739437557
进项作废率,0.039999999999999994,0.998136229379216,0.9754764760762361
销项作废率,0.04999999999999999,0.9987682346416273,0.9805411168865785
销项负数金额率,0.04999999999999999,0.9988262759412365,0.9834732773557242
进项负数金额率,0.04999999999999999,0.9988391740078164,0.9845395175263227
最近断档月数,0.04999999999999999,0.9999484077336809,0.9981340797014526
