特征,标准化系数,优势比,风险方向
年化销项净额,-0.6744511143004472,0.5094359659978713,降低违约风险
收入波动率,0.4777783574561588,1.6124880478207901,提高违约风险
年化客户数,-0.30030017621603255,0.740595878044121,降低违约风险
利润率,-0.283016420383549,0.7535074148773736,降低违约风险
销项作废率,0.22658025300067441,1.2543032673957781,提高违约风险
活跃月份比例,-0.15910328660328027,0.8529082604223813,降低违约风险
成本波动率,-0.15720364284231236,0.8545300221750712,降低违约风险
进项负数发票率,-0.09811913751954297,0.906540894286549,降低违约风险
年化供应商数,-0.0724023756477888,0.9301565481584566,降低违约风险
收入趋势率,-0.06032712957090555,0.9414565049418689,降低违约风险
进项作废率,0.030186244764833017,1.0306464685887198,提高违约风险
销项负数发票率,0.028468523156108125,1.0288776245044464,提高违约风险
进项负数金额率,0.023129541198300924,1.0233991033069805,提高违约风险
年化利润,-0.01256496045333921,0.9875136490759288,降低违约风险
销项负数金额率,-0.010269472020053122,0.9897830789636041,降低违约风险
最近断档月数,0.0,1.0,降低违约风险
